"vehicleMakeId","makeName","modelName","modelId","yearId"
200000404,"chevrolet","silverado-3500",3853,2002
200000404,"chevrolet","suburban",3859,2002
200000404,"chevrolet","tahoe",3860,2002
200000404,"chevrolet","tracker",3857,2002
200000404,"chevrolet","trailblazer",100000312,2002
200000404,"chevrolet","venture",3811,2002
200003644,"chrysler","300m",3877,2002
200003644,"chrysler","concorde",3878,2002
200003644,"chrysler","pt-cruiser",3727,2002
200003644,"chrysler","prowler",3880,2002
200003644,"chrysler","sebring",3881,2002
200003644,"chrysler","town-and-country",3882,2002
200003644,"chrysler","voyager",3883,2002
200312185,"daewoo","lanos",100027,2002
200312185,"daewoo","leganza",100029,2002
200312185,"daewoo","nubira",100028,2002
200009788,"dodge","caravan",3884,2002
200009788,"dodge","dakota",3885,2002
200009788,"dodge","durango",100000509,2002
200009788,"dodge","grand-caravan",3887,2002
200009788,"dodge","intrepid",3888,2002
200009788,"dodge","neon",3889,2002
200009788,"dodge","ram-cargo",3890,2002
200009788,"dodge","ram-pickup-1500",3891,2002
200009788,"dodge","ram-pickup-2500",100000369,2002
200009788,"dodge","ram-pickup-3500",100000370,2002
200009788,"dodge","ram-wagon",100000371,2002
200009788,"dodge","stratus",100000372,2002
200009788,"dodge","viper",100000373,2002
200006023,"ferrari","360",100502599,2002
200006023,"ferrari","456m",100502594,2002
200006023,"ferrari","575m",100502609,2002
200005143,"ford","crown-victoria",3767,2002
200005143,"ford","econoline-cargo",100000364,2002
200005143,"ford","econoline-wagon",100000362,2002
200005143,"ford","escape",3847,2002
200005143,"ford","escort",3842,2002
200005143,"ford","excursion",100000351,2002
200005143,"ford","expedition",100000358,2002
200005143,"ford","explorer",100000090,2002
200005143,"ford","explorer-sport",100000360,2002
200005143,"ford","explorer-sport-trac",100000365,2002
200005143,"ford","f-150",3843,2002
200005143,"ford","f-250-super-duty",3832,2002
200005143,"ford","f-350-super-duty",3831,2002
200005143,"ford","focus",100000084,2002
200005143,"ford","mustang",3845,2002
200005143,"ford","ranger",3844,2002
200005143,"ford","taurus",3846,2002
200005143,"ford","thunderbird",100000320,2002
200005143,"ford","windstar",100000361,2002
200005143,"ford","windstar-cargo",3854,2002
200007302,"gmc","envoy",100000308,2002
200007302,"gmc","envoy-xl",100502588,2002
200007302,"gmc","safari",3866,2002
200007302,"gmc","safari-cargo",3865,2002
200007302,"gmc","savana",3809,2002
200007302,"gmc","savana-cargo",3810,2002
200007302,"gmc","sierra-1500",3834,2002
200007302,"gmc","sierra-1500hd",3835,2002
200007302,"gmc","sierra-2500",3833,2002
200007302,"gmc","sierra-2500hd",3836,2002
200007302,"gmc","sierra-3500",3837,2002
200007302,"gmc","sonoma",3867,2002
200007302,"gmc","yukon",3864,2002
200007302,"gmc","yukon-xl",3868,2002
200004021,"hummer","h1",100000547,2002
200001444,"honda","accord",100000402,2002
200001444,"honda","cr-v",100000403,2002
200001444,"honda","civic",100000404,2002
200001444,"honda","insight",100000405,2002
200001444,"honda","odyssey",100000406,2002
200001444,"honda","passport",100000407,2002
200001444,"honda","s2000",100000409,2002
200001398,"hyundai","accent",100000383,2002
200001398,"hyundai","elantra",100000425,2002
200001398,"hyundai","santa-fe",100000426,2002
200001398,"hyundai","sonata",100000424,2002
200001398,"hyundai","xg350",100000545,2002
200000089,"infiniti","g20",100000342,2002
200000089,"infiniti","i35",100000355,2002
200000089,"infiniti","q45",100000310,2002
200000089,"infiniti","qx4",100000510,2002
200110731,"isuzu","axiom",100000307,2002
200110731,"isuzu","rodeo",100000454,2002
200110731,"isuzu","rodeo-sport",100000455,2002
200110731,"isuzu","trooper",100000531,2002
200003196,"jaguar","s-type",100000475,2002
200003196,"jaguar","x-type",100000345,2002
200003196,"jaguar","xj-series",100000476,2002
200003196,"jaguar","xk-series",100000479,2002
200001510,"jeep","grand-cherokee",100000374,2002
200001510,"jeep","liberty",100000344,2002
200001510,"jeep","wrangler",100000375,2002
200003063,"kia","optima",100000542,2002
200003063,"kia","rio",100000390,2002
200003063,"kia","sedona",100000397,2002
200003063,"kia","spectra",100000487,2002
200003063,"kia","sportage",100000486,2002
200005922,"lamborghini","murcielago",100502595,2002
200006582,"land-rover","discovery-series-ii",100000541,2002
200006582,"land-rover","freelander",100000419,2002
200006582,"land-rover","range-rover",100000540,2002
200001623,"lexus","es-300",100000432,2002
200001623,"lexus","gs-300",100000428,2002
200001623,"lexus","gs-430",100000427,2002
200001623,"lexus","is-300",100000431,2002
200001623,"lexus","ls-430",100000429,2002
200001623,"lexus","lx-470",100000543,2002
200001623,"lexus","rx-300",100000430,2002
200001623,"lexus","sc-430",100000158,2002
200001777,"lincoln","blackwood",100000168,2002
200001777,"lincoln","continental",3838,2002
200001777,"lincoln","ls",3848,2002
200001777,"lincoln","navigator",100000352,2002
